full_address,nearest_mrt_station,distance,num_mrt_2km
8A UPP BOON KENG RD,Kallang,0.23735236543176053,11
150 TAMPINES ST 12,Tampines,0.38939013354739543,5
15 GHIM MOH RD,Buona Vista,0.2695658776885609,6
210 SERANGOON CTRL,Serangoon,0.5603697287578493,5
501 BEDOK NTH ST 3,Bedok Reservoir,0.5873053343364558,5
809 YISHUN RING RD,Khatib,0.26581554281842945,2
117C RIVERVALE DR,Buangkok,1.099623379993412,3
662 HOUGANG AVE 4,Hougang,1.1608447339861174,3
704 HOUGANG AVE 2,Kovan,0.7015346701652931,2
840 WOODLANDS ST 82,Woodlands,1.0076100714197331,2
688 HOUGANG ST 61,Hougang,0.9383423304093357,3
228 SIMEI ST 4,Simei,0.3096477950979649,6
407 CHOA CHU KANG AVE 3,Choa Chu Kang,0.6754532038828153,1
587 WOODLANDS DR 16,Woodlands,1.3668833260680622,2
333 TAMPINES ST 32,Tampines East,0.7108223272843421,4
630 PASIR RIS DR 3,Pasir Ris,1.0799215467299597,1
655 JLN TENAGA,Kaki Bukit,0.3105304346977441,5
142 BISHAN ST 12,Bishan,0.8358796010874987,6
309 HOUGANG AVE 5,Hougang,0.6447083702700682,3
26A JLN MEMBINA,Tiong Bahru,0.39887507230092045,4
155 BEDOK STH AVE 3,Tanah Merah,0.9668810911428071,2
538 PASIR RIS ST 51,Pasir Ris,0.416519589458845,3
549B SEGAR RD,Bukit Panjang,1.3956394787100632,1
324 HOUGANG AVE 5,Hougang,0.6940387634849219,3
266 BISHAN ST 24,Bishan,1.031693455630095,3
457 TAMPINES ST 42,Tampines East,0.2665624272904912,5
534 ANG MO KIO AVE 10,Ang Mo Kio,0.6772940945588319,2
52 CASSIA CRES,Dakota,0.48713306076808616,9
259B COMPASSVALE RD,Sengkang,0.3311843582795565,3
652 PUNGGOL CTRL,Punggol,1.7446466171746748,1
266C COMPASSVALE BOW,Buangkok,0.4478346799101922,3
542 PASIR RIS ST 51,Pasir Ris,0.4935766693023963,3
